date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180802,-0.009600383,-0.0078565,-0.041423961,-0.057279441,0.000468733,0.00034921,0.002575015,0.004295855
20180803,-0.001337584,-0.000540681,-0.032939773,-0.049475921,0.00036763,0.000211354,0.002377514,0.004132956
20180804,-0.001337584,-0.000540681,-0.032939773,-0.049475921,0.00036763,0.000211354,0.002377514,0.004132956
20180805,-0.001337584,-0.000540681,-0.032939773,-0.049475921,0.00036763,0.000211354,0.002377514,0.004132956
20180806,-0.001241401,-0.001071452,-0.032364956,-0.049604002,0.000716635,0.00079939,0.002964294,0.004751476
20180807,0.004295439,0.004764616,-0.025456866,-0.043570184,0.000459284,0.000659205,0.002831296,0.004631213
20180808,0.005352094,0.004870972,-0.023695143,-0.042827077,0.000670327,0.001175963,0.003285978,0.005108552
20180809,0.00340172,0.00544838,-0.021543771,-0.041615864,0.001220777,0.002030149,0.004127096,0.005991172
20180810,-0.005286425,-0.003070527,-0.029221351,-0.049948716,0.000642261,0.001710697,0.00382132,0.005724017
20180811,-0.005286425,-0.003070527,-0.029221351,-0.049948716,0.000642261,0.001710697,0.00382132,0.005724017
20180812,-0.005286425,-0.003070527,-0.029221351,-0.049948716,0.000642261,0.001710697,0.00382132,0.005724017
20180813,-0.016990254,-0.016918062,-0.042390192,-0.063677348,0.000935497,0.002224666,0.004379907,0.00633754
20180814,-0.008842257,-0.011501688,-0.036639202,-0.058720766,0.000348394,0.001870875,0.004034327,0.006023525
20180815,-0.008842257,-0.011501688,-0.036639202,-0.058720766,0.000348394,0.001870875,0.004034327,0.006023525
20180816,-0.011527445,-0.018367472,-0.042866868,-0.065701527,0.000210812,0.001875217,0.004068413,0.006075637
20180817,-0.003790544,-0.014869114,-0.038701815,-0.062500796,0.00108121,0.002889198,0.00515126,0.007178991
20180818,-0.003790544,-0.014869114,-0.038701815,-0.062500796,0.00108121,0.002889198,0.00515126,0.007178991
20180819,-0.003790544,-0.014869114,-0.038701815,-0.062500796,0.00108121,0.002889198,0.00515126,0.007178991
20180820,-0.00032824,-0.013612093,-0.036808253,-0.061611686,0.001565948,0.003726001,0.00607197,0.008137675
20180821,0.00759899,-0.003895643,-0.02594122,-0.051753874,0.001610851,0.004073731,0.006558782,0.008634167
20180822,0.007760381,-0.002310379,-0.023228542,-0.04977825,0.001600512,0.004478259,0.007168772,0.009264144
20180823,0.008133643,0.001547603,-0.017864504,-0.045326426,0.000667203,0.003906143,0.006762478,0.00889237
