날짜,시간,index,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221129,1123,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1122,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1121,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1120,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1119,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1118,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1117,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1116,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1115,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1114,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1113,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1112,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1111,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1110,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1109,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1108,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1107,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1106,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1105,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1104,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1103,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1102,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1101,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1100,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1059,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1058,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1057,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1056,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1055,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1054,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1053,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1052,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1051,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1050,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1049,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1048,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1047,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1046,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1045,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1044,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1043,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1042,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1041,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1040,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1039,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1038,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1037,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1036,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1035,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1034,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1033,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1032,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1031,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1030,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1029,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1028,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1027,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1026,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1025,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1024,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1023,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1022,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1021,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1020,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1019,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1018,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1017,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1016,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1015,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1014,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1013,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1012,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1011,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1010,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1009,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1008,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1007,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1006,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1005,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1004,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1003,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1002,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1001,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1000,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,959,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,958,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,957,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,956,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,955,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,954,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,953,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,952,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,951,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,950,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,949,,,,,,,,,,,,,,,,,,,,,,,,,
